Bubble Pops 001|X:1742.2-Y:535.46-Z:235.89
Bubble Pops 002|X:1546.14-Y:920.38-Z:275.29
Bubble Pops 003|X:111.55-Y:442.83-Z:207.56
Bubble Pops 004|X:1420.92-Y:120.16-Z:195.27
Bubble Pops 005|X:117.71-Y:1535.38-Z:260.3
Bubble Pops 006|X:1876.84-Y:743.13-Z:391.77
Common 0-002|X:1504.6-Y:997.69-Z:330.2
Common 0-003|X:1477.49-Y:972.23-Z:336.04
Common 0-004|X:1445.14-Y:990.35-Z:323.73
Common 0-006|X:1469.3-Y:860.06-Z:357.72
Common 0-008|X:1294.64-Y:850.89-Z:321.54
Common 0-010|X:1239.01-Y:1035.65-Z:302.46
Common 0-011|X:1258.15-Y:1048.05-Z:312.02
Common 0-013|X:1227.06-Y:1201.05-Z:256.67
Common 0-016|X:1360.57-Y:1183.59-Z:265.98
Common 0-017|X:1375.64-Y:1188.66-Z:265.95
Common 0-018|X:1411.41-Y:1212.05-Z:270.69
Common 0-022|X:1412.32-Y:1005.1-Z:270.46
Common 0-023|X:1474.9-Y:1039.82-Z:270.18
Common 0-026|X:1639.22-Y:989.35-Z:254.94
Common 0-027|X:1636.56-Y:930.57-Z:248.7
Common 0-029|X:1544.8-Y:905.64-Z:276.13
Common 0-030|X:1565.55-Y:794.63-Z:321.95
Common 0-032|X:1653.52-Y:539.19-Z:243.41
Common 0-033|X:1530.15-Y:549.65-Z:250.53
Common 0-036|X:1573.23-Y:432.06-Z:303.11
Common 0-039|X:1549.98-Y:309.26-Z:195.76
Common 0-040|X:1539.99-Y:304.66-Z:194.76
Common 0-043|X:1665.6-Y:316.54-Z:231.6
Common 0-046|X:1702.08-Y:259.15-Z:241.65
Common 0-050|X:1141.79-Y:583.83-Z:206.19
Common 0-054|X:936.88-Y:451.64-Z:189.49
Common 0-060|X:497.37-Y:469.81-Z:208.8
Common 0-062|X:429.35-Y:707.36-Z:202.64
Common 0-065|X:232.68-Y:719.52-Z:204.65
Common 0-066|X:-172.17-Y:1061.55-Z:225.75
Common 0-078|X:358.54-Y:334.99-Z:226.59
Common 0-079|X:345.72-Y:205.4-Z:221.01
Common 0-084|X:676.9-Y:-21.42-Z:240.99
Common 0-087|X:584.71-Y:-113.14-Z:292.72
Common 0-094|X:897.92-Y:926.63-Z:228.27
Common 0-098|X:1008.86-Y:309.43-Z:214.06
Common 0-099|X:1021.94-Y:314.3-Z:212.83
Common 0-100|X:-1581.39-Y:1491.8-Z:244.74
Common 0-101|X:-1534.13-Y:1454.13-Z:243.28
Common 0-102|X:-1886.71-Y:1408.73-Z:305.97
Common 0-103|X:-1695.51-Y:1430.34-Z:261.43
Common 0-104|X:-1563.11-Y:1565.71-Z:247.15
Common 0-107|X:1374.92-Y:1617.54-Z:233.85
Common 0-112|X:1301.88-Y:683.79-Z:164.89
Common 0-113|X:1372.48-Y:753.76-Z:281.46
Common 0-114|X:1424.37-Y:799.8-Z:323.61
Common 0-116|X:1423.48-Y:674.42-Z:295.46
Common 0-117|X:-539.24-Y:1999-Z:269.18
Common 0-118|X:-558.25-Y:2125.53-Z:213.24
Common 0-119|X:-560.01-Y:2493.19-Z:205.7
Common 0-120|X:17.53-Y:1766.88-Z:205.46
Common 0-125|X:226.23-Y:1182.06-Z:201.74
Common 0-128|X:1371.71-Y:1366.58-Z:229.59
Common 0-129|X:1655.17-Y:1125.76-Z:365.74
Common 0-130|X:1564.01-Y:1079.59-Z:351.8
Common 0-131|X:1583.94-Y:1032.5-Z:364.26
Common 0-134|X:-1111.84-Y:2695.79-Z:234.19
