Common 0001|X:-872.61-Y:2319.98-Z:242.24
Common 0002|X:-856.75-Y:2345.99-Z:238.75
Common 0003|X:-820.82-Y:2381.27-Z:242.2
Common 0004|X:-754.91-Y:2386.11-Z:227.4
Common 0005|X:-775.25-Y:2238.25-Z:259.41
Common 0006|X:-751.87-Y:2229.9-Z:237.27
Common 0007|X:-767.89-Y:2208.53-Z:256.84
Common 0008|X:-722.76-Y:2260.89-Z:237.15
Common 0009|X:-824.69-Y:2164.67-Z:226.75
Common 0010|X:-861.64-Y:2148.09-Z:234.74
Common 0011|X:-874.38-Y:2184.39-Z:211.28
Common 0012|X:-915.58-Y:2198.36-Z:211.36
Common 0013|X:-942.34-Y:2221.94-Z:229.1
Common 0014|X:-951.41-Y:2289.16-Z:227.1
Common 0015|X:415.44-Y:-467.26-Z:210.83
Common 0016|X:403.32-Y:-557.52-Z:251.43
Common 0017|X:483.46-Y:-584.28-Z:252.58
Common 0018|X:476.87-Y:-584.42-Z:265.39
Common 0019|X:323.14-Y:-626.67-Z:223.65
Common 0020|X:339.22-Y:-620.77-Z:227.81
Common 0021|X:290.57-Y:-640.8-Z:222.86
Common 0022|X:237.64-Y:-673.55-Z:226.76
Common 0023|X:219.05-Y:-627.59-Z:224.35
Common 0024|X:142.29-Y:-730.03-Z:206.27
Common 0025|X:97.23-Y:-692.88-Z:208.93
Common 0026|X:43.27-Y:-656.39-Z:211.79
Common 0027|X:9.6-Y:-656.43-Z:208.95
Common 0028|X:-1875.44-Y:2841.9-Z:263.73
Common 0029|X:-1795.19-Y:2848.43-Z:255.97
Common 0030|X:-1846.27-Y:2883.22-Z:271.7
Common 0031|X:-1749.11-Y:2946.64-Z:223.08
Common 0032|X:-1619.88-Y:2914.12-Z:254.83
Common 0033|X:-1546.58-Y:2879.11-Z:273.85
Common 0034|X:-1563.76-Y:2793.13-Z:298.11
Common 0035|X:-1489.29-Y:2827.44-Z:273.92
Common 0036|X:-1404.22-Y:2822.9-Z:258.27
Common 0037|X:-1382.14-Y:2739.11-Z:262.42
Common 0038|X:-1433.92-Y:2730.67-Z:273.09
Common 0039|X:-1353.81-Y:2688.9-Z:264.3
Common 0040|X:-1319.8-Y:2683-Z:249.58
Common 0041|X:-1326.08-Y:2661.91-Z:247.49
Common 0042|X:-1293.58-Y:2677.66-Z:246.2
Common 0043|X:-1218.06-Y:2671.65-Z:241.05
Common 0045|X:-1228.28-Y:2707.55-Z:250.15
Common 0046|X:-1216.43-Y:2721.54-Z:256.42
Common 0047|X:-1168.57-Y:2733.82-Z:286.61
Common 0048|X:-1173.65-Y:2749.33-Z:269.55
Common 0049|X:-1154.76-Y:2759.37-Z:275.58
Common 0050|X:-1140.8-Y:2815.31-Z:249.18
Common 0051|X:-1109.64-Y:2695.73-Z:234.02
Common 0052|X:-1203.72-Y:2546-Z:206.48
Common 0053|X:-1163.64-Y:2595.69-Z:226.32
Common 0054|X:-1158.22-Y:2530.18-Z:207.76
Common 0055|X:-1130.59-Y:2531.96-Z:206.34
Common 0056|X:-1095.13-Y:2494.24-Z:203.73
Common 0057p|X:-1140.46-Y:2503.51-Z:204.49
Common 0058|X:-1270.22-Y:2529.17-Z:210.45
Common 0059|X:-1357.86-Y:2622.17-Z:225.09
Common 0060|X:-1402.43-Y:2565.61-Z:215.48
Common 0061|X:-1234.34-Y:2469.89-Z:207.4
Common 0062p|X:-1152.71-Y:2435.16-Z:207.66
