001 Crystal White|X:-1627.32-Y:2909.66-Z:255.78
002 Crystal|X:-1550.11-Y:2808.85-Z:279.13
003 White|X:-1411.12-Y:2790.34-Z:267.14
004 Crystal White|X:-1345.48-Y:2701.59-Z:263.06
006 White|X:-1295.61-Y:1591.13-Z:258.47
008 White|X:-1222.31-Y:1783.34-Z:215.98
009 Crystal|X:-713.54-Y:1674.18-Z:260.3
010 Crystal White|X:-589.96-Y:2150.39-Z:218.97
011 Crystal|X:-468.48-Y:2172.1-Z:221.8
012 White Electro|X:-417.38-Y:2169.24-Z:238.91
013 White|X:-360.63-Y:2266.32-Z:260.41
014 White|X:-187.58-Y:2141.17-Z:280.59
015 Crystal|X:-38.04-Y:2071.81-Z:209.42
016 Crystal|X:-485.62-Y:2670.86-Z:222.39
017 Crystal|X:41.06-Y:2730.98-Z:203.65
019 Crystal|X:102.29-Y:2749.05-Z:208.22
020 Crystal|X:145.84-Y:2752.71-Z:219.41
021 Crystal|X:220.9-Y:2692.08-Z:239.87
022 Crystal|X:247.09-Y:2668.58-Z:212.48
024 Crystal|X:99.11-Y:2551.09-Z:208.76
027 Crystal|X:258.15-Y:2430.79-Z:227.7
029 Crystal|X:545.17-Y:2741.4-Z:227.13
030 Crystal|X:531.71-Y:2818.61-Z:227.59
033 White|X:8.01-Y:1659.36-Z:226.37
034 White|X:-14.87-Y:1592.69-Z:243.77
035 White|X:-214.09-Y:1528.94-Z:214.41
036 White|X:-210.19-Y:1557.44-Z:225.22
037 White|X:-92.25-Y:1682.74-Z:257.63
038 White|X:-31.8-Y:1672.66-Z:276.27
039 White|X:-72.93-Y:1770.65-Z:273.36
047 Crystal|X:779.32-Y:1531.99-Z:230.64
048 Crystal|X:720.46-Y:1562.87-Z:232.26
051 White|X:-242.92-Y:992.18-Z:251.72
056 White|X:-44.45-Y:881.22-Z:213.82
057 White|X:-220.84-Y:712.79-Z:217.63
062 White|X:-11.42-Y:416.58-Z:201.42
066 Crystal|X:1373.52-Y:1366.64-Z:229.6
070 Lapis Crystal|X:1550.52-Y:1337.45-Z:272.61
071 White|X:1495.08-Y:1107.9-Z:353.63
072 White|X:1534.76-Y:1064.39-Z:346.14
073 White|X:1569.63-Y:1025.35-Z:338.37
074 White|X:1596.6-Y:1021.65-Z:328.51
075 White|X:1614.12-Y:1021.46-Z:308.18
076 White|X:1553.47-Y:1065.24-Z:354.77
077 White|X:1631.5-Y:1102.19-Z:359.69
078 White|X:1563.57-Y:1212.98-Z:355.25
079 White|X:1622.02-Y:1199.46-Z:342.04
080 White|X:1628.57-Y:1065.33-Z:391.88
081 White|X:1651.97-Y:1103.79-Z:372.77
082 Crystal|X:1445.75-Y:819.39-Z:426.16
083 Crystal|X:1444.74-Y:857.9-Z:402.25
084 Crystal|X:1452.26-Y:844.5-Z:391.08
085 Crystal|X:1417.98-Y:969.2-Z:334.88
086 Crystal|X:1462.88-Y:982.34-Z:338.22
088 Crystal|X:1502.61-Y:972.75-Z:328.92
