Exquisite 0001|X:-1846.05-Y:2880.36-Z:271.65
Exquisite 0002|X:-1826.64-Y:2918.48-Z:243.86
Exquisite 0003|X:-1655.68-Y:2907.28-Z:260.63
Exquisite 0004|X:-1443.61-Y:2877.04-Z:261.47
Exquisite 0005|X:-1440.53-Y:2826.27-Z:273.06
Exquisite 0006|X:-1565.69-Y:2820.96-Z:306.18
Exquisite 0007|X:-1574.33-Y:2729.17-Z:287.34
Exquisite 0008|X:-1567.18-Y:2648.28-Z:269.43
Exquisite 0009|X:-1398.9-Y:2710.16-Z:286.36
Exquisite 0010|X:-1300.79-Y:2686.64-Z:246.1
Exquisite 0011|X:-1211.38-Y:2656.62-Z:247.8
Exquisite 0012 Fire puzzle|X:-1210.75-Y:2726.29-Z:261.16
Exquisite 0013|X:-1156.38-Y:2709.28-Z:245.64
Exquisite 0014|X:-1579.74-Y:2240.08-Z:244.92
Exquisite 0015|X:-1736.45-Y:2191.86-Z:261.6
Exquisite 0016-18 (3 chests in this area)|X:-1768.62-Y:2335.86-Z:302.16
Exquisite 0019|X:-1567.52-Y:2446.87-Z:291.11
Exquisite 0020|X:-1658.04-Y:2550.82-Z:323.83
Exquisite 0021|X:-1508.73-Y:2465.59-Z:265.91
Exquisite 0022 Fire puzzle|X:-1334.06-Y:2341.06-Z:253.6
Exquisite 0023|X:-1284.63-Y:2408.83-Z:209.57
Exquisite 0024|X:-1688.79-Y:2634.31-Z:255.27
Exquisite 0025|X:-1485.29-Y:2206.36-Z:214.83
Exquisite 0026|X:-1186.63-Y:2217.48-Z:225.12
Exquisite 0027 Fire puzzle|X:-1567.96-Y:2001.57-Z:222.41
Exquisite 0028|X:-1530.87-Y:2089.26-Z:233.65
Exquisite 0029|X:-1363.71-Y:2000.72-Z:206.36
Exquisite 0030|X:-1276.25-Y:2070.35-Z:210.25
Exquisite 0031|X:-1169.36-Y:1960.24-Z:197.86
Exquisite 0032 Fire puzzle|X:-1559.62-Y:1937.89-Z:208.01
Exquisite 0033|X:-1556.95-Y:1873.24-Z:197.96
Exquisite 0034|X:-1492.66-Y:1837.5-Z:194.92
Exquisite 0035|X:-1412.25-Y:1812.22-Z:196.08
Exquisite 0036|X:-1012.29-Y:2035.23-Z:211.68
Exquisite 0037|X:-1024.55-Y:1786.86-Z:262.13
Exquisite 0038|X:-1155.47-Y:1751.85-Z:253.03
Exquisite 0039|X:-1159.22-Y:1725.17-Z:238.16
Exquisite 0040 Electro puzzle|X:-1337.04-Y:1711.22-Z:266.68
Exquisite 0041|X:-1268.57-Y:1802.39-Z:204.33
Exquisite 0042|X:-1968.61-Y:1418.68-Z:319.11
Exquisite 0043|X:-1788.04-Y:1326.06-Z:283.45
Exquisite 0044|X:-1562.63-Y:1457.76-Z:269.51
Exquisite 0045 Cryo puzzle many chests|X:-1634.71-Y:1580.53-Z:253.34
Exquisite 0046|X:-1291.35-Y:1530.92-Z:288.47
Exquisite 0047|X:-1169.69-Y:1555.4-Z:293.12
Exquisite 0048|X:-1025.08-Y:1786.62-Z:262.11
Exquisite 0049|X:-796.56-Y:1887.58-Z:238.62
Exquisite 0050|X:-739.59-Y:1703.98-Z:257.08
Exquisite 0051|X:-712.44-Y:1670.51-Z:260.22
Exquisite 0052|X:-755.48-Y:1633.79-Z:267.51
Exquisite 0053-55 theres 3 around this area|X:-522.17-Y:1870.87-Z:248.02
Exquisite 0056|X:-559.36-Y:1935.96-Z:225.7
Exquisite 0057|X:-598.01-Y:2086.56-Z:235.96
Exquisite 0058|X:-447.71-Y:2054.68-Z:255.05
Exquisite 0059 Fire puzzle|X:-367.47-Y:2048.58-Z:265.63
Exquisite 0060|X:-471.53-Y:2149.3-Z:211.98
Exquisite 0061|X:-445.54-Y:2179.47-Z:236.98
Exquisite 0062|X:-475.52-Y:2281.12-Z:241.05
Exquisite 0063 Fire puzzle|X:-468.6-Y:2222.31-Z:214.73
Exquisite 0064 break puzzle|X:-419.48-Y:2197.52-Z:246.53
Exquisite 0065|X:-475.31-Y:2282.33-Z:241.31
Exquisite 0066-67 Anemo puzzle|X:-273.72-Y:2258.17-Z:271.11
Exquisite 0068|X:-232.48-Y:2346.77-Z:290.89
Exquisite 0069|X:-278.48-Y:2354.76-Z:285.52
Exquisite 0070|X:-186.31-Y:2335.38-Z:298.73
Exquisite 0071 kill monsters here to spawn chest|X:-354.5-Y:2526.5-Z:317.92
Exquisite 0072|X:-401.73-Y:2421.45-Z:241.9
Exquisite 0073|X:-482.05-Y:2643-Z:223.41
Exquisite 0074|X:-403.08-Y:2674.95-Z:286.16
Exquisite 0075 break|X:-364.34-Y:2690.04-Z:253.1
