001 Crystal White|X:-1627.32-Y:2909.66-Z:255.78
002 Crystal|X:-1550.11-Y:2808.85-Z:279.13
003 White|X:-1411.12-Y:2790.34-Z:267.14
004 Crystal White|X:-1345.48-Y:2701.59-Z:263.06
005 Electro|X:-2088.26-Y:1541.54-Z:335.04
006 White|X:-1295.61-Y:1591.13-Z:258.47
007|X:-1187.9-Y:1660.4-Z:234.8
008 White|X:-1222.31-Y:1783.34-Z:215.98
009 Crystal|X:-713.54-Y:1674.18-Z:260.3
010 Crystal White|X:-589.96-Y:2150.39-Z:218.97
011 Crystal|X:-468.48-Y:2172.1-Z:221.8
012 White Electro|X:-417.38-Y:2169.24-Z:238.91
013 White|X:-360.63-Y:2266.32-Z:260.41
014 White|X:-187.58-Y:2141.17-Z:280.59
015 Crystal|X:-38.04-Y:2071.81-Z:209.42
016 Crystal|X:-485.62-Y:2670.86-Z:222.39
017 Crystal|X:41.06-Y:2730.98-Z:203.65
018 Electro|X:81.2-Y:2746.57-Z:207.86
019 Crystal|X:102.29-Y:2749.05-Z:208.22
020 Crystal|X:145.84-Y:2752.71-Z:219.41
021 Crystal|X:220.9-Y:2692.08-Z:239.87
022 Crystal|X:247.09-Y:2668.58-Z:212.48
023 Electro|X:234.45-Y:2614.53-Z:209.75
024 Crystal|X:99.11-Y:2551.09-Z:208.76
025 Electro|X:151.37-Y:2434.99-Z:227.3
027 Crystal|X:258.15-Y:2430.79-Z:227.7
028 Electro|X:388.03-Y:2587.25-Z:181.31
029 Crystal|X:545.17-Y:2741.4-Z:227.13
030 Crystal|X:531.71-Y:2818.61-Z:227.59
031 Lapis Electro|X:110.73-Y:1792.62-Z:202.86
032 Lapis|X:56.87-Y:1676.44-Z:203.84
033 White|X:8.01-Y:1659.36-Z:226.37
034 White|X:-14.87-Y:1592.69-Z:243.77
035 White|X:-214.09-Y:1528.94-Z:214.41
036 White|X:-210.19-Y:1557.44-Z:225.22
037 White|X:-92.25-Y:1682.74-Z:257.63
038 White|X:-31.8-Y:1672.66-Z:276.27
039 White|X:-72.93-Y:1770.65-Z:273.36
040 Lapis|X:272.06-Y:1648.34-Z:202.97
041 Electro|X:315.3-Y:1581.18-Z:202.48
042 Lapis|X:517.48-Y:1822.05-Z:220.18
043 Lapis|X:511.64-Y:1826.18-Z:235.79
044 Lapis|X:431.11-Y:1762.8-Z:292.78
045 Lapis|X:457.71-Y:1479.54-Z:221.11
046 Lapis|X:837.4-Y:1594.88-Z:207.48
047 Crystal|X:779.32-Y:1531.99-Z:230.64
048 Crystal|X:720.46-Y:1562.87-Z:232.26
049 Jade|X:-204.87-Y:1092.78-Z:203.3
050 Electro|X:-220.15-Y:998.02-Z:262.72
051 White|X:-242.92-Y:992.18-Z:251.72
052 Jade|X:-243.63-Y:970.27-Z:246.83
053 Lapis Jade|X:-331.47-Y:857.44-Z:260.53
054 Jade|X:-217.8-Y:798.12-Z:239.6
055 Lapis|X:-125.59-Y:880.08-Z:245.85
