Berries|X:-21.34-Y:1611.8-Z:266.82
Bird Eggs|X:1745.57-Y:957.93-Z:352.2
Calla lillie#1|X:-480.14-Y:2155.04-Z:211.55
Calla lillie#2|X:-557-Y:1982.12-Z:220.56
Cecilia patch #2|X:-1664.83-Y:2530.81-Z:341.6
Cecilia patch #3|X:-1692.95-Y:2552.37-Z:349.71
Cecilia patch #4|X:-1691.27-Y:2583.44-Z:359.88
Cecilia patch #5|X:-1724.29-Y:2601.37-Z:370.97
Cecilia patch#6|X:-1724.24-Y:2512.63-Z:342.93
Cecilia#1|X:-1719.97-Y:2475.08-Z:328.74
Cecilia#2|X:-1718.16-Y:2482-Z:330.99
Chili#1,|X:1487.89-Y:1052.47-Z:270.99
Chili#10|X:-28.21-Y:1499.14-Z:265.79
Chili#2|X:658.17-Y:1776.95-Z:227.28
Chili#3|X:556.96-Y:1748.53-Z:252.44
chili#4|X:1376.46-Y:982.84-Z:270.24
Chili#5|X:1377.32-Y:982.06-Z:270.29
Chili#6|X:1405.92-Y:1025.95-Z:317.43
Chili#7|X:1381.36-Y:1088.91-Z:288.12
Chili#8|X:1654.38-Y:907.25-Z:238.49
Chili#9|X:1684.6-Y:941.28-Z:232.29
Crabs - Talk Jill, ask what she like|X:-1557.17-Y:1796.66-Z:195.86
Crabs - Talk to ulfr|X:-973.13-Y:2341.17-Z:203.61
Crystalfly|X:-1640.67-Y:2361.87-Z:299.58
Dandelion#1|X:-52.26-Y:1665.97-Z:268.92
Dandelion#2|X:-89.68-Y:1650.91-Z:256.54
Dandelion#3|X:-166.44-Y:1650.45-Z:244.32
Dandelions#4|X:-129.79-Y:1588.23-Z:241.06
Dandelions#5|X:-981.31-Y:2238.28-Z:211.17
Exquisite|X:971.15-Y:-270.58-Z:191.11
Frog|X:-50.16-Y:515.73-Z:200.67
Geo x3|X:780.86-Y:880.98-Z:247.5
Glaze Lily #1|X:281.03-Y:-664.09-Z:222.69
Glaze Lily #10|X:599.43-Y:1914.22-Z:224.07
Glaze Lily #11|X:620.81-Y:1911.46-Z:220.56
Glaze Lily #12|X:618.81-Y:1922.77-Z:222.19
Glaze Lily #13|X:623.15-Y:1886.59-Z:217.58
Glaze Lily #14|X:637.01-Y:1852.35-Z:215.32
Glaze Lily #15|X:663.98-Y:1918.78-Z:217.58
Glaze Lily #16|X:703.45-Y:1901.83-Z:215.84
Glaze Lily #17|X:744.9-Y:1909.2-Z:214.02
Glaze Lily #2|X:718.34-Y:1691.77-Z:213.58
Glaze Lily #3|X:707.07-Y:1666.85-Z:215.39
Glaze Lily #4|X:702.89-Y:1780.81-Z:217.84
Glaze Lily #5|X:639.53-Y:1761.28-Z:220.18
Glaze Lily #6|X:560.2-Y:1765.59-Z:213.34
Glaze Lily #7|X:591.75-Y:1853.75-Z:213.68
Glaze Lily #8|X:571.95-Y:1884.69-Z:221.33
Glaze Lily #9|X:574.09-Y:1912.24-Z:229.34
Glaze Lily#18|X:283-Y:-657.32-Z:221.91
Glaze Lily19|X:474.16-Y:-461.28-Z:239.59
horsetail and lotus|X:250.01-Y:1167.1-Z:200.86
Horsetail#1|X:131.23-Y:1648.92-Z:200.5
Horsetail#2|X:197.4-Y:1375.89-Z:200.53
Horsetail#3|X:184.8-Y:1376.09-Z:200.79
Horsetail#4|X:207.41-Y:1400.94-Z:200.47
Horsetail#5|X:273.07-Y:1395.88-Z:200.74
Lamp Grass #10|X:-317.59-Y:2306.95-Z:270.59
Lamp Grass#1|X:-1167.58-Y:2313.48-Z:211.65
Lamp Grass#10|X:-358.1-Y:2458.53-Z:300.49
Lamp Grass#11|X:-496.69-Y:2099.82-Z:216.6
Lamp Grass#12|X:-490.72-Y:2196.77-Z:210.39
Lamp Grass#13|X:-473.98-Y:2209.11-Z:213.6
Lamp Grass#14|X:-495.81-Y:2099.29-Z:216.97
Lamp Grass#15|X:-548.98-Y:2167.19-Z:210.12
Lamp Grass#2|X:-1165.4-Y:2288.13-Z:212.02
Lamp Grass#3|X:-1111.8-Y:2357.99-Z:209.88
Lamp Grass#4|X:-1110.26-Y:2367.53-Z:209.74
Lamp Grass#5|X:-1103.15-Y:2363.08-Z:210.62
Lamp Grass#6|X:-491.41-Y:2196.09-Z:210.19
Lamp Grass#7|X:-473.99-Y:2210.22-Z:213.69
Lamp Grass#8|X:-1092.98-Y:2380.23-Z:213.94
Lamp Grass#9|X:-1099.03-Y:2400.12-Z:212.77
Lotus big pond liyue|X:403.65-Y:-508.18-Z:230.59
