001|X:5.48-Y:1705.24-Z:231.85
002|X:545.06-Y:1489.42-Z:222.89
003|X:586.69-Y:1517.27-Z:223.68
004|X:581.75-Y:1481.28-Z:221.47
005|X:43.74-Y:1649.85-Z:249.7
006|X:173.17-Y:1557.81-Z:215.09
007|X:793.61-Y:1823.22-Z:207.17
008|X:857.32-Y:1814.95-Z:206.84
009 (use anemo blow sand)|X:611.3-Y:1772.46-Z:211.91
010|X:1188.53-Y:1206.76-Z:250.01
011|X:1274.01-Y:1173.5-Z:261.2
012|X:1321.44-Y:1222.39-Z:263.67
013|X:1352.72-Y:1274.47-Z:269.25
014|X:725.38-Y:1560.67-Z:231.68
015|X:672.47-Y:1351.44-Z:202.37
016|X:238.69-Y:1120.69-Z:201
017|X:1102.9-Y:685.55-Z:165.3
018|X:1464.11-Y:754.03-Z:325.68
019|X:1278.22-Y:777.52-Z:239.88
020|X:1536.11-Y:923.47-Z:354.45
021|X:-59.45-Y:-21.94-Z:266.83
022-1 (observe)|X:354.66-Y:907.14-Z:272.69
022-2|X:266.04-Y:-144.98-Z:373.56
023|X:1106.18-Y:43.3-Z:233.44
024|X:1741.54-Y:373.64-Z:237.54
025-2|X:-683.01-Y:146.53-Z:201.47
025-3|X:-679.11-Y:142.76-Z:201.08
025-4|X:-684.88-Y:179.7-Z:201.28
025-5|X:-701.48-Y:175.17-Z:201.26
026|X:-1408.02-Y:1811.28-Z:196.06
027-1|X:-2318.76-Y:2655.6-Z:200.98
027-2|X:-2337.11-Y:2648.91-Z:201.81
028|X:502.32-Y:1206.58-Z:201.42
